Material_Type,Product_Type,Industry,Strength (1-10),Weight Capacity (kg),Biodegradability Score (1-10),Recyclability (%),Cost (USD),CO2 Emission (kg CO2/kg)
Bioplastic (PLA),Water Bottle,Food & Beverage,4,2.54,10,63.88,2.36,1.33
HDPE Plastic,Body Lotion Bottle,Personal Care,10,0.31,2,76.25,2.1,2.78
Glass,Chemical Storage Bottle,Chemicals,8,4.96,2,90.44,3.05,3.81
Bioplastic (PLA),Coffee Pouch,Food & Beverage,4,1.5,8,78.43,3.59,0.73
Bioplastic (PLA),Conditioner Bottle,Personal Care,4,0.58,8,76.16,3.78,1.02
PP Plastic,Garbage Bag,Household,7,29.68,3,68.95,1.92,4.48
Recycled Plastic,Bubble Wrap,Logistics,3,9.89,3,79.25,2.06,2.14
Aluminum,Medicine Bottle,Pharmaceuticals,8,3.53,1,93.17,2.64,1.63
Recycled Plastic,Phone Box,Electronics,5,29.24,2,74.45,1.08,2.61
Recycled Plastic,Produce Bag,Agriculture,3,6.84,3,88.41,1.78,1.8
Recycled Plastic,Spray Bottle,Cosmetics,10,0.51,2,87.56,2.53,1.54
Kraft Paper,Cosmetic Packaging Box,Cosmetics,6,25.5,9,80.11,2.3,1.25
Aluminum,Cooking Oil Bottle,Food & Beverage,7,3.08,3,89.49,1.84,1.59
Bioplastic (PLA),Hair Oil Bottle,Personal Care,4,0.4,9,65.05,3.58,1.19
Aluminum,Medicine Bottle,Pharmaceuticals,9,0.12,3,92.93,2.76,1.92
Kraft Paper,Coffee Pouch,Food & Beverage,7,1.21,10,85.96,1.38,1.58
Aluminum,Sauce Bottle,Food & Beverage,7,0.4,3,90.54,3.15,2.49
PET Plastic,Medicine Bottle,Pharmaceuticals,4,2.68,1,67.76,2.45,3.39
Recycled Plastic,Sugar Pouch,Food & Beverage,10,1.48,2,84.35,2.77,2.62
Bagasse Fiber,Pizza Box,Food & Beverage,3,9.54,9,76.81,1.95,0.82
Cardboard,Food Container,Food & Beverage,6,10.9,7,85.29,1.82,1.48
PP Plastic,Wet Wipes Pack,Household,3,0.3,1,57.62,3.29,4.92
Recycled Plastic,Cosmetic Packaging Box,Cosmetics,9,23.57,3,85.02,2.18,3.04
Recycled Plastic,Floor Cleaner Bottle,Household,9,2.3,1,78.24,1.22,3.14
PET Plastic,Earphone Box,Electronics,4,0.16,2,76.37,2.48,3.74
Bamboo,Gift Box,Retail,10,14.18,10,62.16,4.96,1.32
Glass,Pharma Vial,Pharmaceuticals,8,0.8,2,90.61,6.6,5.72
Bioplastic (PLA),Pallet Wrap,Logistics,4,2.69,10,72.96,2.91,1.15
Bioplastic (PLA),Food Container,Food & Beverage,8,43.06,9,79.68,2.91,1.06
PP Plastic,Pill Blister Pack,Pharmaceuticals,3,11.7,3,50.38,2.87,4.56
Recycled Plastic,Coffee Pouch,Food & Beverage,7,0.25,3,75.19,2.49,2.22
Recycled Plastic,Blister Pack,Retail,7,23.44,2,82.57,2.26,1.57
Recycled Plastic,Perfume Bottle,Cosmetics,10,2.7,1,88.44,2.58,1.9
Bioplastic (PLA),Wet Wipes Pack,Household,4,0.5,8,69.05,3.88,1.12
PET Plastic,Conditioner Bottle,Personal Care,7,0.48,1,63.06,3.37,4.62
Bioplastic (PLA),Shopping Bag,Retail,8,2.02,9,70.7,2.32,0.9
Kraft Paper,Cereal Box,Food & Beverage,3,0.54,7,71.3,2.45,1.07
Bioplastic (PLA),Conditioner Bottle,Personal Care,4,0.61,8,84.52,2.82,1.29
Molded Pulp,Laptop Packaging Box,Electronics,3,25.96,10,74,1.96,0.8
Recycled Plastic,Component Tray,Electronics,10,6.14,1,89.83,1.09,1.97
Steel,Heavy Crate,Logistics,5,85.84,1,66.41,9.24,6.31
Recycled Plastic,Hair Oil Bottle,Personal Care,7,0.17,1,85.95,2.29,3.06
Kraft Paper,Sugar Pouch,Food & Beverage,10,1.02,10,74.19,1.08,1.38
Glass,Butter Tub,Food & Beverage,10,0.73,2,80.29,6.65,3.49
Recycled Plastic,Shampoo Bottle,Personal Care,5,0.42,3,87.57,1.99,2.98
Bioplastic (PLA),Yogurt Cup,Food & Beverage,6,0.31,9,70.95,3.13,0.52
Recycled Plastic,Sauce Bottle,Food & Beverage,10,1.46,1,86.91,2.29,1.56
Bioplastic (PLA),Sterile Wrap,Healthcare,6,3.98,10,74.37,3.41,1.14
Bagasse Fiber,Snack Packaging,Food & Beverage,4,2.57,9,77.58,2.9,1.18
Recycled Plastic,Butter Tub,Food & Beverage,5,0.21,1,83.04,1.7,1.58
Glass,Medicine Bottle,Pharmaceuticals,6,0.43,1,86.39,3.4,5.6
Kraft Paper,Juice Carton,Food & Beverage,10,23.37,8,85.36,2.26,1.45
Molded Pulp,Instant Noodle Cup,Food & Beverage,3,0.34,8,66.09,2.95,0.54
Cardboard,Blister Pack,Retail,7,8.18,8,79.31,2.96,0.87
Recycled Plastic,Body Lotion Bottle,Personal Care,10,0.7,2,73.67,2.52,1.54
Bioplastic (PLA),Toilet Cleaner Bottle,Household,3,0.4,8,66.99,2.63,0.94
Molded Pulp,Earphone Box,Electronics,5,0.21,8,80.88,2.09,1.15
Cardboard,Laptop Packaging Box,Electronics,7,20.1,7,80.85,1.88,1.09
Bioplastic (PLA),Syringe Packaging,Pharmaceuticals,5,21.12,10,74.18,3.6,0.68
PP Plastic,Sugar Pouch,Food & Beverage,7,1.65,1,69.34,2.84,3.46
PP Plastic,Blister Pack,Retail,10,16.96,2,57.32,1.56,2.57
PP Plastic,Bread Bag,Food & Beverage,7,0.47,2,55.69,2.31,2.56
Recycled Plastic,Shipping Box,Logistics,5,18.84,3,87.59,1.7,3.07
Cardboard,Laptop Packaging Box,Electronics,10,29.23,8,74.11,1.95,1.15
Mushroom Packaging,Pizza Box,Food & Beverage,7,7.13,8,77.98,3.13,0.81
Recycled Plastic,Pill Blister Pack,Pharmaceuticals,7,16.92,3,70.5,1.47,2.17
Bioplastic (PLA),Deodorant Stick,Personal Care,6,0.1,9,79.21,2.44,0.62
Bioplastic (PLA),Blister Pack,Retail,10,11.56,10,82.47,3.26,0.8
PP Plastic,Food Container,Food & Beverage,6,32.77,3,74.39,2.45,2.67
Cardboard,Book Packaging Wrap,Retail,7,2.48,10,75.6,1.09,0.74
Bioplastic (PLA),Shopping Bag,Retail,8,7.59,9,73.6,2.62,1.49
Recycled Plastic,Tea Pouch,Food & Beverage,4,0.31,3,89.15,1.75,2.74
Recycled Plastic,Sauce Bottle,Food & Beverage,6,1.23,3,87.69,2.66,3.23
Recycled Plastic,Conditioner Bottle,Personal Care,9,0.28,1,76.08,2.31,3.38
Jute,Produce Bag,Agriculture,5,4.3,10,73.47,3.12,0.95
Bioplastic (PLA),Shampoo Bottle,Personal Care,8,0.27,9,78.45,2.17,1.02
Recycled Plastic,Beverage Can,Food & Beverage,3,2.5,1,78.35,2.46,2.54
PET Plastic,Medicine Bottle,Pharmaceuticals,10,4.95,3,64.12,3.19,2.77
Recycled Plastic,Medical Device Box,Healthcare,7,2.78,2,74.93,2.96,2.32
Recycled Plastic,Medical Device Box,Healthcare,3,4.15,3,76.54,2.63,1.77
Corrugated Cardboard,Shipping Box,Logistics,8,22.37,9,75.21,1.1,1.34
Bioplastic (PLA),Butter Tub,Food & Beverage,5,0.68,9,62.54,2.65,1.02
Kraft Paper,Snack Packaging,Food & Beverage,7,0.52,7,71.98,1.18,0.89
Kraft Paper,Laundry Detergent Box,Household,6,4.35,10,74.69,1.22,1.92
HDPE Plastic,Medicine Bottle,Pharmaceuticals,10,4.3,2,66.29,2.7,4.08
Bioplastic (PLA),Snack Packaging,Food & Beverage,9,20.91,9,63.53,3.84,0.41
Bioplastic (PLA),Juice Carton,Food & Beverage,3,25.53,10,84.64,3.58,1.02
Kraft Paper,Cosmetic Packaging Box,Cosmetics,9,10.24,7,82.41,2.09,1.61
Cardboard,Juice Carton,Food & Beverage,7,14.52,9,85.63,1.87,1.44
HDPE Plastic,Sauce Bottle,Food & Beverage,10,1.3,2,52.71,2.89,3.27
Glass,Beverage Can,Food & Beverage,7,0.19,2,74.53,6.24,3.41
PP Plastic,Wet Wipes Pack,Household,5,0.75,3,50.74,1.51,4.78
Bioplastic (PLA),Instant Noodle Cup,Food & Beverage,8,0.27,9,60.09,3.8,0.56
Glass,Body Lotion Bottle,Personal Care,7,0.59,2,93.51,6.62,4.69
Cardboard,Paper Carry Bag,Retail,5,8.75,8,73.64,2.01,1.37
Bagasse Fiber,Produce Bag,Agriculture,5,7.9,9,75.48,2.72,1.5
HDPE Plastic,Toilet Cleaner Bottle,Household,7,0.4,3,54.96,3.28,4.31
Bioplastic (PLA),Instant Noodle Cup,Food & Beverage,6,0.19,9,79.54,2.75,0.82
Kraft Paper,Sugar Pouch,Food & Beverage,3,2.95,7,79.75,1.8,1.85
Recycled Plastic,Sauce Bottle,Food & Beverage,3,0.38,1,85.92,1.67,2.89
Bioplastic (PLA),Chocolate Wrapper,Food & Beverage,7,0.15,9,85,2.25,1.25
PET Plastic,Conditioner Bottle,Personal Care,10,0.34,3,62.3,3.18,3.65
Bioplastic (PLA),Pet Food Bag,Pet Care,8,11.12,10,68.03,3.78,0.31
PET Plastic,Shampoo Bottle,Personal Care,5,0.56,3,52.14,2.14,5.03
Bagasse Fiber,Shopping Bag,Retail,5,0.79,10,80.31,3.5,0.84
Aluminum,Spray Bottle,Cosmetics,9,2.78,1,86.94,2.07,2.01
Kraft Paper,Medical Device Box,Healthcare,4,16.76,8,86.08,1.61,1.58
Foam,Bubble Wrap,Logistics,5,4.9,10,80.17,2.85,1.26
Molded Pulp,Instant Noodle Cup,Food & Beverage,5,0.16,9,81.2,3.16,0.47
Recycled Plastic,Wet Wipes Pack,Household,7,0.46,1,71.25,1.32,1.85
PET Plastic,Face Wash Tube,Personal Care,9,0.13,1,63.09,1.59,3.23
Cardboard,Egg Carton,Food & Beverage,7,1,9,87.58,1.19,1.12
PP Plastic,Dishwash Liquid Bottle,Household,4,1.27,3,73.01,2.5,3.07
Bagasse Fiber,Instant Noodle Cup,Food & Beverage,8,0.47,9,82.95,3.36,1.22
Jute,Fertilizer Bag,Agriculture,3,7.96,10,70.56,4.77,1.14
Bagasse Fiber,Pizza Box,Food & Beverage,6,29.1,10,74.25,3.46,0.93
PET Plastic,Floor Cleaner Bottle,Household,6,2.58,1,76.7,2.68,3.2
Molded Pulp,Ice Cream Tub,Food & Beverage,5,0.95,8,71.55,3.04,0.6
PP Plastic,Face Wash Tube,Personal Care,8,0.22,3,69.56,2.59,2.89
PP Plastic,Pet Food Bag,Pet Care,8,10.56,2,71.05,1.68,3.8
Corrugated Cardboard,Medical Device Box,Healthcare,6,23.26,10,79.1,2.9,1.64
Cardboard,Earphone Box,Electronics,7,0.08,10,86.46,2.9,1.33
PP Plastic,Pallet Wrap,Logistics,7,3.29,1,62.4,1.84,4.12
Bagasse Fiber,Soap Bar Wrapper,Personal Care,7,0.18,10,72.57,3,0.51
HDPE Plastic,Honey Jar,Food & Beverage,8,0.78,1,58.59,2.6,4.22
Bioplastic (PLA),Lipstick Tube,Cosmetics,3,1.88,8,72.73,3.35,1.01
PET Plastic,Spray Bottle,Cosmetics,10,2.57,3,74.74,2.05,5.29
Bioplastic (PLA),Pallet Wrap,Logistics,4,2.03,10,76.18,3.94,1.04
PP Plastic,Butter Tub,Food & Beverage,3,0.1,3,65.81,3.34,4.82
Kraft Paper,Juice Carton,Food & Beverage,4,4.88,8,83.78,2.1,0.86
Tempered Glass,Syringe Packaging,Pharmaceuticals,7,28.17,1,79.37,6.97,5.04
Recycled Plastic,Deodorant Stick,Personal Care,9,0.1,2,73.32,1.7,2.98
Recycled Plastic,Face Wash Tube,Personal Care,3,0.32,2,82.4,2.07,1.62
PP Plastic,Snack Packaging,Food & Beverage,8,28.32,3,73.42,1.71,4.6
Corrugated Cardboard,Pizza Box,Food & Beverage,6,14.51,8,74.69,1.8,0.73
PP Plastic,Laundry Detergent Box,Household,10,3.96,3,66.31,2.31,4.27
Bioplastic (PLA),Garbage Bag,Household,6,11.63,9,79.71,3.5,0.58
Bioplastic (PLA),Pet Food Bag,Pet Care,10,6.14,8,75.02,2.44,0.96
PP Plastic,Butter Tub,Food & Beverage,9,0.53,3,73.74,2.9,4.59
PET Plastic,Spray Bottle,Cosmetics,5,4.72,2,65.38,2.42,4.43
Cardboard,Shipping Box,Logistics,9,19.3,7,70.57,2.88,0.57
Bioplastic (PLA),Snack Packaging,Food & Beverage,5,2.64,10,70.06,3.84,1.08
Bagasse Fiber,Soap Bar Wrapper,Personal Care,4,0.1,10,65.42,1.58,1.39
Bioplastic (PLA),Snack Packaging,Food & Beverage,10,26.38,9,68.91,2.89,1.46
Kraft Paper,Wet Wipes Pack,Household,9,0.69,10,73.62,1.66,1.07
Cardboard,Cereal Box,Food & Beverage,10,0.94,10,81.95,1.83,0.74
Bioplastic (PLA),Cream Jar,Cosmetics,8,1.81,8,70.77,2.11,0.85
Recycled Plastic,Heavy Crate,Logistics,7,21.61,3,85.24,2.03,3.36
Kraft Paper,Cosmetic Packaging Box,Cosmetics,3,13.03,7,80.51,2.95,1.87
Aluminum,Lipstick Tube,Cosmetics,10,1,2,93.97,1.54,2.36
Recycled Plastic,Earphone Box,Electronics,4,0.15,1,74.09,2.14,1.53
PP Plastic,Chocolate Wrapper,Food & Beverage,9,0.28,2,72.25,2.41,2.62
Kraft Paper,Produce Bag,Agriculture,10,1.78,9,86.44,2.98,1.06
Bioplastic (PLA),Floor Cleaner Bottle,Household,10,1.59,8,76.1,3.61,1.18
Aluminum,Cream Jar,Cosmetics,9,4.46,2,85.91,1.76,1.74
Recycled Plastic,Cream Jar,Cosmetics,8,3.23,2,85.03,1.43,2.93
Jute,Shopping Bag,Retail,5,8.26,9,73.96,3.27,0.54
PP Plastic,Bread Bag,Food & Beverage,5,0.98,2,62.59,3.2,4.65
HDPE Plastic,Fertilizer Bag,Agriculture,4,1.9,2,60.24,3.07,3.32
Recycled Plastic,Toilet Cleaner Bottle,Household,8,0.51,3,71.22,2.64,2.02
Kraft Paper,Bread Bag,Food & Beverage,9,0.73,9,77.66,2.67,1.6
Cardboard,Ice Cream Tub,Food & Beverage,5,0.62,10,71.6,1.13,0.96
Cardboard,Pizza Box,Food & Beverage,4,24.67,10,76.7,1.35,1.57
PP Plastic,Industrial Drum,Chemicals,5,32.8,1,64.15,2.67,3.03
Corrugated Cardboard,Phone Box,Electronics,5,27.17,7,88.14,2.58,1.57
PET Plastic,Beverage Can,Food & Beverage,7,2.46,3,68.95,2.01,5.35
Aluminum,Industrial Drum,Chemicals,10,80.73,3,93.28,2.35,2.02
Bioplastic (PLA),Blister Pack,Retail,4,25.06,8,84.05,2.18,0.33
PET Plastic,Toilet Cleaner Bottle,Household,3,0.97,1,74.97,2.86,3.66
Recycled Plastic,Toothpaste Tube,Personal Care,5,0.18,2,87.5,2.58,1.78
Molded Pulp,Component Tray,Electronics,7,12.67,10,75.34,2.55,1.06
PET Plastic,Earphone Box,Electronics,3,0.17,1,56.51,2.56,5.19
Recycled Plastic,Water Bottle,Food & Beverage,8,1.79,2,71.49,2.7,3.48
Kraft Paper,Charger Adapter Box,Electronics,3,0.24,9,85.55,2.77,0.87
PP Plastic,Pill Blister Pack,Pharmaceuticals,9,43.09,1,62.71,1.73,3.05
Foam,Component Tray,Electronics,10,17.47,10,62.33,2.87,0.33
Recycled Plastic,Sugar Pouch,Food & Beverage,8,1.8,1,70.66,1.54,2.69
Aluminum,Pharma Vial,Pharmaceuticals,10,1.35,2,90.45,2.43,2.29
Wood,Smartwatch Box,Electronics,3,0.46,6,60.31,4.53,2.16
HDPE Plastic,Lipstick Tube,Cosmetics,6,0.56,2,56.24,1.8,4.14
Kraft Paper,Paper Carry Bag,Retail,3,5.06,7,81.1,1.49,0.71
Bioplastic (PLA),Sterile Wrap,Healthcare,4,1.33,10,77.93,2.28,1.06
Bioplastic (PLA),Snack Packaging,Food & Beverage,3,11.08,8,69.85,3.7,0.89
HDPE Plastic,Toilet Cleaner Bottle,Household,8,1.19,2,70.49,3.01,3.15
Corrugated Cardboard,Phone Box,Electronics,9,20.98,10,71.78,1.2,1.85
Foam,Component Tray,Electronics,7,23,10,77.09,3.6,0.51
Cardboard,Instant Noodle Cup,Food & Beverage,5,0.28,7,87.2,2.81,1.75
Recycled Plastic,Blister Pack,Retail,10,28.75,3,71.69,2.42,3.35
Bioplastic (PLA),Sterile Wrap,Healthcare,8,2.1,10,68.26,2.7,0.35
Bioplastic (PLA),Pet Food Bag,Pet Care,9,4.52,8,61.16,2.07,0.51
Aluminum,Lipstick Tube,Cosmetics,9,2.71,2,91.02,2.77,1.54
Bagasse Fiber,Wet Wipes Pack,Household,4,0.79,10,82.71,3.02,0.84
Kraft Paper,Laundry Detergent Box,Household,3,4.47,8,78.1,1.06,1.12
Bioplastic (PLA),Book Packaging Wrap,Retail,8,1.78,8,62.73,3.12,0.7
Recycled Plastic,Beverage Can,Food & Beverage,9,3.05,1,73.58,2.8,2.29
PP Plastic,Laundry Detergent Box,Household,3,4.18,1,65.63,3.33,3.86
Aluminum,Medicine Bottle,Pharmaceuticals,10,4.94,3,90.16,2.35,1.95
Glass,Yogurt Cup,Food & Beverage,4,0.2,1,90.17,3.54,3.87
PP Plastic,Bubble Wrap,Logistics,10,9.04,1,56.79,2.35,3.02
Kraft Paper,Chocolate Wrapper,Food & Beverage,7,0.08,10,75.36,1.59,1.06
Kraft Paper,Gift Box,Retail,6,23.87,9,71.52,2.01,0.93
PET Plastic,Hair Oil Bottle,Personal Care,10,0.47,3,77.13,2.55,4.87
HDPE Plastic,Syringe Packaging,Pharmaceuticals,6,20.36,3,67.76,1.74,2.73
Kraft Paper,Wet Wipes Pack,Household,8,0.19,9,75.9,2.93,1.21
Recycled Plastic,Cosmetic Packaging Box,Cosmetics,8,21.94,3,74.16,1.65,2.77
Recycled Plastic,Toilet Cleaner Bottle,Household,3,0.71,1,84.61,2.72,2.59
Glass,Cooking Oil Bottle,Food & Beverage,8,2.27,1,85.6,4.79,5.72
Cardboard,Cosmetic Packaging Box,Cosmetics,7,29.75,10,78.56,1.2,1.43
Tempered Glass,Pharma Vial,Pharmaceuticals,10,2.84,1,86,6.28,3.1
Cardboard,Laptop Packaging Box,Electronics,4,28.98,8,71.07,2.38,0.61
PP Plastic,Sugar Pouch,Food & Beverage,7,4.71,1,54.43,1.86,4.65
Kraft Paper,Soap Bar Wrapper,Personal Care,10,0.12,8,75.38,3,1.79
PP Plastic,Sterile Wrap,Healthcare,3,7.25,2,61.67,2.25,3.31
Aluminum,Face Wash Tube,Personal Care,8,0.26,3,87.09,1.57,1.93
Glass,Sauce Bottle,Food & Beverage,4,0.72,2,79.22,6.59,5.24
Kraft Paper,Chocolate Wrapper,Food & Beverage,6,0.22,8,75.15,1.76,1.69
HDPE Plastic,Syringe Packaging,Pharmaceuticals,10,4.92,1,51.71,1.61,2.53
PET Plastic,Honey Jar,Food & Beverage,6,0.48,3,71.04,2.68,3.34
Kraft Paper,Smartwatch Box,Electronics,10,0.35,8,74.86,2.25,1.79
Recycled Plastic,Body Lotion Bottle,Personal Care,6,0.42,2,72.07,1.36,1.76
PP Plastic,Component Tray,Electronics,9,2.44,2,74.3,3.39,3.43
Bagasse Fiber,Instant Noodle Cup,Food & Beverage,6,0.42,10,75.49,3.19,1.48
Wood,Smartwatch Box,Electronics,6,0.43,6,57.63,5.97,1.59
Cardboard,Juice Carton,Food & Beverage,10,1.21,7,70.44,2.98,0.56
Corrugated Cardboard,Charger Adapter Box,Electronics,8,0.22,7,81.1,1.72,1.02
PP Plastic,Pill Blister Pack,Pharmaceuticals,10,19.75,3,61.54,1.71,3.93
Molded Pulp,Instant Noodle Cup,Food & Beverage,7,0.3,10,72.91,2.51,0.61
Aluminum,Medicine Bottle,Pharmaceuticals,9,3.54,2,93.73,3.12,2.15
Bioplastic (PLA),Milk Carton,Food & Beverage,8,1.18,8,77.26,3.46,0.35
Bioplastic (PLA),Paper Carry Bag,Retail,5,5.68,10,61.22,2.97,0.71
Recycled Plastic,Shipping Box,Logistics,5,7.43,1,72.56,1.45,2.97
Corrugated Cardboard,Tissue Box,Household,9,0.37,10,71.29,1.74,1.39
Bioplastic (PLA),Tissue Box,Household,4,0.38,10,64.72,2.35,1.16
Bioplastic (PLA),Yogurt Cup,Food & Beverage,7,0.33,9,78.91,3.47,0.38
Cardboard,Pizza Box,Food & Beverage,4,3.27,10,85.86,2.16,1.45
Bioplastic (PLA),Produce Bag,Agriculture,8,6.88,10,83.67,2.85,0.72
Corrugated Cardboard,Book Packaging Wrap,Retail,5,1.12,7,87.24,1.08,1.15
Cardboard,Gift Box,Retail,3,25.39,10,83.87,2.8,1.52
Bioplastic (PLA),Chocolate Wrapper,Food & Beverage,3,0.1,9,74.87,3.32,0.6
PP Plastic,Ice Cream Tub,Food & Beverage,5,0.78,1,62.22,2.9,2.72
PP Plastic,Ice Cream Tub,Food & Beverage,9,0.64,1,59.72,3.16,3.72
Molded Pulp,Seedling Tray,Agriculture,5,5.48,10,76.92,2.58,1.33
Recycled Plastic,Toilet Cleaner Bottle,Household,6,0.46,2,79.79,2.3,1.9
Corrugated Cardboard,Book Packaging Wrap,Retail,6,2.69,8,76.07,1.66,1.67
Kraft Paper,Cosmetic Packaging Box,Cosmetics,8,18.39,10,70.2,2.87,1.44
Glass,Sauce Bottle,Food & Beverage,3,0.7,1,88.07,5.39,4.92
Recycled Plastic,Bread Bag,Food & Beverage,6,0.63,2,76.3,2.43,3.45
Kraft Paper,Tissue Box,Household,3,0.18,7,79.06,1.04,1.48
PP Plastic,Snack Packaging,Food & Beverage,4,25.75,1,61.96,1.86,3.71
Tempered Glass,Syringe Packaging,Pharmaceuticals,10,16.25,1,90.26,6.01,3.74
Aluminum,Sauce Bottle,Food & Beverage,7,0.89,1,94.46,1.67,2.1
Recycled Plastic,Fertilizer Bag,Agriculture,6,6.12,1,75.03,2.97,2.73
Kraft Paper,Soap Bar Wrapper,Personal Care,5,0.09,10,87.1,1.72,1.45
Aluminum,Conditioner Bottle,Personal Care,10,0.74,3,88.93,3.21,2.27
Kraft Paper,Sterile Wrap,Healthcare,6,8.6,9,87.75,2.86,1.58
Recycled Plastic,Perfume Bottle,Cosmetics,4,3.17,2,73.7,1.08,1.57
Kraft Paper,Pet Food Bag,Pet Care,4,4.84,7,83.87,1.96,1.77
Bagasse Fiber,Sugar Pouch,Food & Beverage,3,2.87,10,69.24,1.56,1.47
PP Plastic,Snack Packaging,Food & Beverage,10,20.44,1,57.25,3.21,3.47
Recycled Plastic,Heavy Crate,Logistics,5,15.25,1,74.2,1.59,3.2
Glass,Sauce Bottle,Food & Beverage,6,1.44,1,93.83,6.01,3.54
Kraft Paper,Book Packaging Wrap,Retail,4,2.01,10,79.36,1.21,0.87
Cardboard,Ice Cream Tub,Food & Beverage,5,0.92,10,75.88,2.67,1.33
Kraft Paper,Produce Bag,Agriculture,9,1.31,9,76.75,2.96,0.92
Bioplastic (PLA),Sterile Wrap,Healthcare,9,6.42,10,79.4,3,1.5
Cardboard,Book Packaging Wrap,Retail,3,0.86,8,75.01,1.47,1.74
Recycled Plastic,Fertilizer Bag,Agriculture,5,5.03,3,74.52,1.91,1.52
Aluminum,Lipstick Tube,Cosmetics,7,1.51,3,88.04,1.52,2.33
Recycled Plastic,Paper Carry Bag,Retail,6,2.6,1,70.28,1.98,2.32
Kraft Paper,Charger Adapter Box,Electronics,8,0.19,8,80.47,1.39,0.82
PP Plastic,Snack Packaging,Food & Beverage,7,8.98,2,62.96,2.67,2.94
Recycled Plastic,Bubble Wrap,Logistics,7,0.21,2,85.87,2.09,2.66
Foam,Laptop Packaging Box,Electronics,8,1.24,10,72.04,3.06,1.44
Molded Pulp,Instant Noodle Cup,Food & Beverage,4,0.36,8,67.87,3.46,0.46
PP Plastic,Syringe Packaging,Pharmaceuticals,4,3.36,1,62.77,2.95,3.08
PET Plastic,Medicine Bottle,Pharmaceuticals,4,3.64,3,56.05,1.83,2.77
PET Plastic,Face Wash Tube,Personal Care,9,0.29,2,54.42,2.89,5.18
HDPE Plastic,Fertilizer Bag,Agriculture,10,5.54,1,69.5,2.67,3.12
Aluminum,Shampoo Bottle,Personal Care,8,0.52,1,88.51,1.58,1.58
Bioplastic (PLA),Cereal Box,Food & Beverage,5,0.4,10,61.31,2.64,1.49
Jute,Produce Bag,Agriculture,5,6.06,10,73.87,4.94,0.98
Recycled Plastic,Dishwash Liquid Bottle,Household,10,0.76,3,81.35,2.37,2.71
Glass,Cooking Oil Bottle,Food & Beverage,6,2.73,2,94.52,5.82,4.71
Jute,Paper Carry Bag,Retail,3,2.61,10,64.36,3.96,1.37
Aluminum,Chocolate Wrapper,Food & Beverage,10,0.13,2,91.92,2.74,1.81
PET Plastic,Blister Pack,Retail,5,24.15,3,56.05,3.5,3.19
Kraft Paper,Soap Bar Wrapper,Personal Care,4,0.19,9,73.55,1.01,1.71
Cardboard,Butter Tub,Food & Beverage,8,0.33,7,79.39,1.52,0.74
Aluminum,Toothpaste Tube,Personal Care,7,0.22,3,85.69,2.45,2.06
Recycled Plastic,Pet Food Bag,Pet Care,5,14.55,2,85.78,1.2,1.73
Recycled Plastic,Blister Pack,Retail,4,48.09,3,77.62,2.14,3.09
Recycled Plastic,Bubble Wrap,Logistics,10,3.26,3,83.84,1.19,3.03
HDPE Plastic,Body Lotion Bottle,Personal Care,6,0.64,1,78.37,1.89,5.13
PP Plastic,Floor Cleaner Bottle,Household,3,1.67,3,72.75,2.78,3
Aluminum,Chocolate Wrapper,Food & Beverage,7,0.17,2,92.96,1.56,1.74
Bioplastic (PLA),Coffee Pouch,Food & Beverage,4,0.82,8,63.9,3.56,1.21
HDPE Plastic,Industrial Drum,Chemicals,4,37.55,3,55.11,3.01,3.75
Cardboard,Yogurt Cup,Food & Beverage,9,0.45,10,71.65,2.46,1.1
Kraft Paper,Toothpaste Tube,Personal Care,6,0.16,10,81.17,2.74,1.06
Wood,Smartwatch Box,Electronics,10,0.3,7,54.88,5.76,1.85
PET Plastic,Toilet Cleaner Bottle,Household,6,1.01,1,62.05,2.91,4.09
Cardboard,Food Container,Food & Beverage,3,26.67,10,73.82,2.39,0.83
Bioplastic (PLA),Food Container,Food & Beverage,7,47.26,9,83.48,2.01,1.23
Recycled Plastic,Industrial Drum,Chemicals,9,57.83,3,73.21,2.07,2.78
Corrugated Cardboard,Book Packaging Wrap,Retail,10,0.6,7,74.36,2.42,0.74
Kraft Paper,Fertilizer Bag,Agriculture,10,2.13,10,77.11,1.02,1.33
Recycled Plastic,Deodorant Stick,Personal Care,5,0.15,2,75.58,1.36,2.61
Bagasse Fiber,Milk Carton,Food & Beverage,7,1.54,10,70.82,1.77,1.33
Bagasse Fiber,Shopping Bag,Retail,4,5.27,9,77.64,1.64,1.37
Bioplastic (PLA),Hair Oil Bottle,Personal Care,8,0.12,8,69.28,2.15,1.45
Molded Pulp,Seedling Tray,Agriculture,5,29.02,9,69.28,1.73,0.8
Bioplastic (PLA),Produce Bag,Agriculture,4,5.86,9,84.33,3.95,0.61
Bioplastic (PLA),Coffee Pouch,Food & Beverage,7,0.55,8,62.66,2.42,0.74
Recycled Plastic,Component Tray,Electronics,4,10.42,2,83.64,2.23,2.51
Bioplastic (PLA),Snack Packaging,Food & Beverage,7,4.69,8,71.5,2.56,0.74
Recycled Plastic,Cereal Box,Food & Beverage,3,0.6,1,86.1,1.48,3.27
Steel,Beverage Can,Food & Beverage,6,4.48,1,77.43,9.21,7.21
Cardboard,Soap Bar Wrapper,Personal Care,8,0.13,8,75.72,2.45,1.92
Cardboard,Power Bank Box,Electronics,3,0.3,10,85.08,2.37,0.8
