material_type,product_type,industry,strength,weight_capacity,biodegradability_score,recyclability,cost,co2_emission
Aluminum,Furniture Carton,Furniture,8,34.76,1,98.63,2.62,3.51
Kraft Paper,Foam Insert Package,Home Appliances,6,11.56,10,85.29,1.33,0.57
Kraft Paper,Tile Packaging,Construction,5,8.79,10,86.87,1.14,0.614
Glass,Electronic Blister Pack,Electronics,10,22.21,2,99.11,3.9,1.785
Mushroom Packaging,Laptop Box,Electronics,6,16.19,10,66.7,1.43,0.302
Bagasse Fiber,Clothing Box,Textiles,6,6.91,8,81.1,1.64,0.543
PLA Bioplastic,Foam Insert Package,Home Appliances,6,13.23,7,64.76,1.95,1.192
Bagasse Fiber,Perfume Bottle,Cosmetics,5,12.09,9,79.83,1.09,0.454
Aluminum,Medical Container,Healthcare,10,21.16,1,98.47,3.8,3.525
Glass,TV Carton,Electronics,9,24.25,1,98.8,3.59,1.775
Aluminum,Hardware Container,Construction,8,31.83,1,99.49,4.35,3.572
Glass,Perfume Bottle,Cosmetics,9,20.0,1,97.3,4.54,1.793
Mushroom Packaging,Hardware Container,Construction,6,11.8,10,76.05,1.3,0.351
Corrugated Cardboard,Hardware Container,Construction,9,28.5,8,90.07,1.06,0.827
Aluminum,Protective Cushioning Pack,Furniture,8,24.57,1,97.66,4.38,3.544
Bagasse Fiber,Makeup Box,Cosmetics,6,7.97,8,73.63,1.66,0.454
Bagasse Fiber,Medical Container,Healthcare,5,13.42,8,74.46,2.26,0.505
PLA Bioplastic,Electronic Blister Pack,Electronics,9,18.53,7,67.85,2.32,1.248
Glass,Furniture Carton,Furniture,9,25.71,2,97.91,2.65,1.886
Aluminum,Appliance Carton,Home Appliances,8,20.95,2,98.69,2.71,3.497
Corrugated Cardboard,Laptop Box,Electronics,9,31.71,8,90.55,1.46,0.724
Recycled PET,Medical Container,Healthcare,10,21.46,3,91.02,1.57,2.174
Glass,Clothing Box,Textiles,10,38.96,2,97.96,4.34,1.782
Aluminum,Cosmetic Tube,Cosmetics,10,21.98,2,98.26,5.32,3.487
PLA Bioplastic,Foam Insert Package,Home Appliances,8,19.81,8,58.14,2.15,1.08
Kraft Paper,Toy Box,Toys,4,5.4,9,86.96,0.77,0.589
Recycled PET,Cosmetic Tube,Cosmetics,8,22.75,3,93.54,3.11,1.997
Mushroom Packaging,Tablet Blister Pack,Healthcare,7,16.44,9,71.44,2.25,0.454
Glass,Fabric Wrap,Textiles,10,25.56,2,95.44,4.18,1.771
Mushroom Packaging,Laptop Box,Electronics,5,11.45,9,73.51,3.37,0.378
Recycled PET,Makeup Box,Cosmetics,10,19.12,2,88.9,2.47,2.103
Mushroom Packaging,Cosmetic Tube,Cosmetics,5,15.14,10,74.37,3.41,0.34
Mushroom Packaging,Clothing Box,Textiles,5,14.36,9,74.35,3.28,0.451
Aluminum,Furniture Carton,Furniture,9,23.85,2,96.85,3.09,3.458
Bagasse Fiber,Makeup Box,Cosmetics,5,6.64,9,74.82,0.92,0.39
Kraft Paper,TV Carton,Electronics,6,11.46,9,85.1,0.42,0.659
Glass,Protective Box,Home Appliances,9,32.25,2,95.86,2.07,1.713
Recycled PET,Action Figure Pack,Toys,9,22.95,4,85.12,1.74,2.043
Corrugated Cardboard,Makeup Box,Cosmetics,8,24.43,8,90.92,1.52,0.805
Aluminum,Syringe Pack,Healthcare,8,30.94,1,99.26,2.71,3.492
Recycled PET,Cement Liner Bag,Construction,10,23.14,3,92.89,2.3,2.068
PLA Bioplastic,Protective Box,Home Appliances,9,14.95,6,61.64,2.69,1.109
Corrugated Cardboard,Fabric Wrap,Textiles,7,27.64,7,86.31,0.53,0.765
Aluminum,Appliance Carton,Home Appliances,8,33.35,1,97.59,4.94,3.492
PLA Bioplastic,Protective Box,Home Appliances,8,8.86,7,61.92,1.56,1.222
Mushroom Packaging,Tablet Blister Pack,Healthcare,5,13.31,10,62.81,1.47,0.495
Mushroom Packaging,Oil Container,Automotive,7,13.32,9,67.68,2.8,0.377
Mushroom Packaging,Action Figure Pack,Toys,7,9.6,10,69.76,2.65,0.358
Kraft Paper,Clothing Box,Textiles,4,8.7,8,89.74,1.35,0.578
Bagasse Fiber,Board Game Box,Toys,5,14.86,8,70.46,2.05,0.446
Recycled PET,Toy Box,Toys,8,23.31,3,86.68,3.51,2.116
Aluminum,Battery Packaging,Automotive,10,25.34,2,95.29,3.35,3.461
Aluminum,Battery Packaging,Automotive,10,22.48,1,95.7,3.03,3.469
Aluminum,Perfume Bottle,Cosmetics,9,27.33,1,96.5,4.75,3.536
Mushroom Packaging,Toy Box,Toys,6,12.61,9,67.9,3.06,0.443
Recycled PET,Spare Parts Box,Automotive,9,18.42,4,90.33,3.98,2.113
Glass,Toy Box,Toys,9,30.99,1,98.97,3.65,1.823
Glass,Hardware Container,Construction,10,38.88,1,95.47,3.49,1.801
Aluminum,Tile Packaging,Construction,10,25.63,2,97.61,4.83,3.533
Aluminum,Beverage Bottle,Food Packaging,10,27.67,1,99.47,3.52,3.568
Aluminum,Protective Box,Home Appliances,10,28.87,1,99.78,5.29,3.458
Bagasse Fiber,Electronic Blister Pack,Electronics,5,9.95,8,74.68,2.26,0.449
Recycled PET,Makeup Box,Cosmetics,8,29.57,2,94.26,2.57,2.06
Recycled PET,Foam Insert Package,Home Appliances,9,25.84,3,91.44,3.38,2.212
Mushroom Packaging,Appliance Carton,Home Appliances,7,10.11,9,75.87,2.94,0.423
Kraft Paper,Makeup Box,Cosmetics,7,14.95,10,85.69,0.42,0.66
Recycled PET,Takeaway Container,Food Packaging,8,26.49,4,91.14,3.76,2.028
Corrugated Cardboard,Beverage Bottle,Food Packaging,7,11.94,8,86.92,1.26,0.905
Recycled PET,Appliance Carton,Home Appliances,10,22.84,3,85.77,3.57,2.139
Kraft Paper,Protective Cushioning Pack,Furniture,7,12.07,9,87.95,0.68,0.592
PLA Bioplastic,Protective Box,Home Appliances,9,11.51,7,55.32,2.79,1.165
Aluminum,Toy Box,Toys,8,32.63,1,98.02,3.67,3.504
Corrugated Cardboard,Battery Packaging,Automotive,6,13.07,7,88.64,0.52,0.801
Bagasse Fiber,Garment Bag,Textiles,6,6.65,9,82.34,2.34,0.54
Glass,Beverage Bottle,Food Packaging,10,30.4,1,99.58,2.37,1.751
Bagasse Fiber,Food Tray,Food Packaging,7,7.43,9,70.81,1.34,0.517
Corrugated Cardboard,Syringe Pack,Healthcare,8,14.73,7,80.56,1.93,0.753
Corrugated Cardboard,Board Game Box,Toys,8,24.58,7,80.99,1.93,0.824
PLA Bioplastic,Laptop Box,Electronics,8,14.78,7,56.27,2.15,1.191
Aluminum,Tile Packaging,Construction,10,26.51,1,98.38,4.4,3.53
Aluminum,Tablet Blister Pack,Healthcare,9,28.47,2,98.16,3.85,3.492
Kraft Paper,Beverage Bottle,Food Packaging,6,6.67,8,87.78,0.65,0.592
Aluminum,Medical Container,Healthcare,8,24.47,1,97.38,3.49,3.51
Recycled PET,Cosmetic Tube,Cosmetics,9,16.57,3,89.33,3.18,2.1
PLA Bioplastic,Foam Insert Package,Home Appliances,9,8.03,8,65.35,2.5,1.23
Recycled PET,Appliance Carton,Home Appliances,10,25.79,2,93.8,3.48,2.081
Recycled PET,Medical Container,Healthcare,10,24.12,3,88.95,3.47,2.205
Bagasse Fiber,Beverage Bottle,Food Packaging,6,12.63,9,80.7,0.96,0.441
Bagasse Fiber,Toy Box,Toys,5,8.59,10,80.0,1.64,0.582
Glass,Tablet Blister Pack,Healthcare,10,30.88,1,95.1,2.23,1.724
Kraft Paper,Tile Packaging,Construction,6,9.93,10,88.3,0.96,0.543
PLA Bioplastic,Toy Box,Toys,6,19.56,7,65.48,1.88,1.141
Bagasse Fiber,Medical Container,Healthcare,6,13.71,9,70.25,2.31,0.556
Recycled PET,Mobile Box,Electronics,9,21.53,2,87.23,2.38,2.162
Bagasse Fiber,Mobile Box,Electronics,7,11.97,8,84.61,1.0,0.459
Mushroom Packaging,Perfume Bottle,Cosmetics,7,16.3,9,67.96,1.53,0.389
Recycled PET,Cement Liner Bag,Construction,8,29.06,3,89.84,3.4,2.174
Bagasse Fiber,Protective Cushioning Pack,Furniture,6,14.91,10,71.13,1.85,0.527
PLA Bioplastic,Laptop Box,Electronics,7,10.35,7,67.92,1.2,1.203
PLA Bioplastic,Mobile Box,Electronics,6,11.31,6,57.76,1.17,1.225
Aluminum,Medicine Box,Healthcare,9,24.36,2,97.69,4.6,3.557
Kraft Paper,Mobile Box,Electronics,5,6.47,8,85.45,0.39,0.521
Glass,Tablet Blister Pack,Healthcare,9,35.22,2,97.5,5.29,1.799
Recycled PET,Oil Container,Automotive,9,19.12,3,86.8,3.27,2.114
Glass,Cream Jar,Cosmetics,9,29.63,1,95.25,2.33,1.878
Mushroom Packaging,Medicine Box,Healthcare,7,15.93,9,62.18,1.4,0.481
Bagasse Fiber,Cement Liner Bag,Construction,7,14.83,8,73.29,2.48,0.445
Kraft Paper,Spare Parts Box,Automotive,6,6.76,9,86.9,0.75,0.608
PLA Bioplastic,Perfume Bottle,Cosmetics,6,19.32,8,57.9,1.74,1.202
Aluminum,Foam Insert Package,Home Appliances,8,32.81,2,98.2,4.94,3.452
PLA Bioplastic,Furniture Carton,Furniture,9,14.78,7,67.1,2.89,1.242
Kraft Paper,Laptop Box,Electronics,7,8.57,9,90.15,1.48,0.576
PLA Bioplastic,Toy Box,Toys,6,12.83,6,50.01,2.51,1.223
Glass,Hardware Container,Construction,10,39.8,2,96.96,3.51,1.768
PLA Bioplastic,Oil Container,Automotive,8,19.41,8,55.51,1.17,1.266
Recycled PET,Tablet Blister Pack,Healthcare,8,23.46,4,94.02,3.44,2.156
Bagasse Fiber,Clothing Box,Textiles,7,10.55,10,81.28,1.75,0.486
Corrugated Cardboard,Oil Container,Automotive,6,13.7,7,88.63,1.14,0.782
Recycled PET,Beverage Bottle,Food Packaging,10,19.9,4,87.82,3.77,2.027
Aluminum,Assembly Kit Box,Furniture,10,32.69,1,97.38,2.83,3.571
Recycled PET,Appliance Carton,Home Appliances,8,19.44,4,85.33,2.73,2.08
Bagasse Fiber,TV Carton,Electronics,6,14.47,8,82.4,0.82,0.455
Recycled PET,Tile Packaging,Construction,9,27.37,3,93.76,2.67,2.096
Mushroom Packaging,Furniture Carton,Furniture,7,17.31,9,60.0,1.33,0.417
Glass,Electronic Blister Pack,Electronics,10,21.09,2,96.0,2.48,1.776
Recycled PET,Protective Cushioning Pack,Furniture,8,21.56,4,91.41,1.79,2.155
Recycled PET,Laptop Box,Electronics,10,24.14,3,88.25,3.12,2.055
PLA Bioplastic,Electronic Blister Pack,Electronics,8,10.18,7,65.25,2.49,1.131
Mushroom Packaging,Toy Box,Toys,5,11.81,9,70.89,2.54,0.377
Kraft Paper,Fabric Wrap,Textiles,6,10.18,8,87.97,1.45,0.633
Recycled PET,TV Carton,Electronics,8,16.54,2,92.08,2.44,2.025
Corrugated Cardboard,Cosmetic Tube,Cosmetics,6,21.22,8,85.54,0.93,0.854
Aluminum,Syringe Pack,Healthcare,9,30.93,2,96.72,5.11,3.55
Corrugated Cardboard,Protective Box,Home Appliances,6,13.55,8,88.72,0.84,0.822
Corrugated Cardboard,Furniture Carton,Furniture,8,22.06,8,80.19,1.94,0.839
Mushroom Packaging,Cement Liner Bag,Construction,6,15.04,10,74.12,1.23,0.403
Mushroom Packaging,Medicine Box,Healthcare,7,12.3,9,74.37,3.43,0.546
Mushroom Packaging,Toy Box,Toys,6,13.53,10,76.18,1.3,0.421
Kraft Paper,Cement Liner Bag,Construction,7,13.16,8,92.97,1.37,0.585
Mushroom Packaging,Protective Cushioning Pack,Furniture,7,13.72,10,64.95,2.41,0.401
Corrugated Cardboard,Takeaway Container,Food Packaging,6,10.49,7,83.68,1.99,0.805
Corrugated Cardboard,Tablet Blister Pack,Healthcare,6,28.32,8,84.27,0.61,0.728
PLA Bioplastic,Appliance Carton,Home Appliances,7,11.99,7,54.11,2.11,1.23
Recycled PET,Furniture Carton,Furniture,9,26.0,4,92.51,3.92,2.082
Recycled PET,Takeaway Container,Food Packaging,9,29.12,2,94.8,2.81,2.034
Recycled PET,Garment Bag,Textiles,9,17.69,3,90.55,3.07,2.119
Bagasse Fiber,Foam Insert Package,Home Appliances,5,7.84,8,75.96,1.98,0.502
Kraft Paper,Cream Jar,Cosmetics,4,12.4,9,94.69,0.85,0.647
PLA Bioplastic,Assembly Kit Box,Furniture,6,19.11,8,58.61,2.26,1.136
Bagasse Fiber,Cement Liner Bag,Construction,7,11.84,9,75.6,1.79,0.569
Corrugated Cardboard,Clothing Box,Textiles,9,25.25,7,86.31,1.85,0.848
Bagasse Fiber,Appliance Carton,Home Appliances,5,7.05,8,73.04,0.88,0.528
Glass,Board Game Box,Toys,9,21.01,1,95.08,3.12,1.817
Corrugated Cardboard,Cement Liner Bag,Construction,6,21.26,7,87.41,1.93,0.836
Corrugated Cardboard,Board Game Box,Toys,7,10.21,8,83.92,1.84,0.755
Recycled PET,Cement Liner Bag,Construction,10,27.11,4,92.23,2.64,2.078
Mushroom Packaging,Fabric Wrap,Textiles,5,13.47,9,64.84,2.63,0.32
Mushroom Packaging,Hardware Container,Construction,7,9.99,9,60.32,1.84,0.396
Recycled PET,Protective Box,Home Appliances,9,25.99,3,90.97,1.97,2.088
Mushroom Packaging,Foam Insert Package,Home Appliances,7,16.38,10,65.67,2.27,0.393
PLA Bioplastic,Food Tray,Food Packaging,7,14.16,8,64.76,1.71,1.08
Glass,Beverage Bottle,Food Packaging,10,28.55,1,96.34,4.33,1.854
Recycled PET,Tablet Blister Pack,Healthcare,8,15.53,4,89.54,1.69,2.218
PLA Bioplastic,Fabric Wrap,Textiles,9,18.0,7,51.28,2.95,1.227
Glass,Protective Box,Home Appliances,10,28.88,1,96.01,5.94,1.809
Recycled PET,Action Figure Pack,Toys,10,22.37,4,85.11,3.25,2.149
Glass,Laptop Box,Electronics,10,22.24,1,95.35,4.14,1.75
Kraft Paper,Clothing Box,Textiles,6,12.21,10,87.89,0.67,0.565
Mushroom Packaging,Cement Liner Bag,Construction,6,13.36,9,74.85,3.07,0.416
Recycled PET,Clothing Box,Textiles,10,18.24,4,88.54,3.21,2.094
Aluminum,Garment Bag,Textiles,8,24.78,1,96.96,2.99,3.516
PLA Bioplastic,Perfume Bottle,Cosmetics,8,10.33,7,56.9,2.82,1.214
Corrugated Cardboard,Cream Jar,Cosmetics,8,25.26,7,85.51,1.73,0.811
Mushroom Packaging,Furniture Carton,Furniture,6,11.85,10,63.23,3.38,0.406
Corrugated Cardboard,Tablet Blister Pack,Healthcare,7,14.14,8,90.58,1.59,0.887
Aluminum,Garment Bag,Textiles,10,23.34,1,95.83,4.34,3.467
PLA Bioplastic,Action Figure Pack,Toys,7,10.63,8,61.14,1.84,1.149
Corrugated Cardboard,Tablet Blister Pack,Healthcare,8,26.97,9,83.93,1.9,0.762
Kraft Paper,Toy Box,Toys,4,10.33,8,91.97,1.34,0.632
Recycled PET,Spare Parts Box,Automotive,10,17.14,3,92.65,1.61,2.049
Kraft Paper,Makeup Box,Cosmetics,4,14.51,8,85.18,0.33,0.602
Corrugated Cardboard,Syringe Pack,Healthcare,8,21.86,9,88.58,1.06,0.787
Bagasse Fiber,Mobile Box,Electronics,5,10.82,8,76.98,2.18,0.518
PLA Bioplastic,Toy Box,Toys,9,12.0,6,66.41,2.97,1.252
Aluminum,Laptop Box,Electronics,10,20.2,2,96.94,2.95,3.656
PLA Bioplastic,Food Tray,Food Packaging,9,10.44,7,64.86,2.19,1.133
Corrugated Cardboard,Hardware Container,Construction,6,21.26,7,89.65,1.07,0.796
PLA Bioplastic,Hardware Container,Construction,7,11.85,8,62.17,2.94,1.208
Bagasse Fiber,Protective Cushioning Pack,Furniture,7,9.33,10,79.85,2.23,0.486
Mushroom Packaging,Foam Insert Package,Home Appliances,5,11.73,9,70.97,3.13,0.43
Mushroom Packaging,Electronic Blister Pack,Electronics,5,13.84,9,70.42,2.28,0.433
Bagasse Fiber,Protective Cushioning Pack,Furniture,5,6.13,10,72.55,1.51,0.57
Bagasse Fiber,TV Carton,Electronics,6,12.75,8,73.87,1.26,0.535
Mushroom Packaging,Perfume Bottle,Cosmetics,6,16.89,9,66.14,1.33,0.479
Corrugated Cardboard,Action Figure Pack,Toys,9,24.99,8,85.1,1.8,0.813
Aluminum,Fabric Wrap,Textiles,8,28.77,2,98.3,4.94,3.558
Glass,Medical Container,Healthcare,10,30.67,1,99.7,6.0,1.779
Recycled PET,Tablet Blister Pack,Healthcare,8,25.42,2,85.63,3.99,2.152
Aluminum,Battery Packaging,Automotive,10,34.75,2,95.44,4.17,3.525
Bagasse Fiber,Spare Parts Box,Automotive,5,10.18,9,70.58,2.11,0.517
Corrugated Cardboard,Foam Insert Package,Home Appliances,9,15.03,9,90.81,1.92,0.722
Glass,Pizza Box,Food Packaging,10,36.9,1,99.84,5.4,1.83
Recycled PET,Cement Liner Bag,Construction,10,27.02,2,93.58,2.12,2.145
Aluminum,Makeup Box,Cosmetics,8,24.77,1,98.92,3.85,3.498
Glass,Battery Packaging,Automotive,10,20.34,2,98.12,2.52,1.793
Aluminum,Cement Liner Bag,Construction,10,20.08,1,97.93,5.36,3.548
Recycled PET,Electronic Blister Pack,Electronics,8,26.35,4,91.76,3.02,2.117
Mushroom Packaging,Electronic Blister Pack,Electronics,7,16.68,9,70.55,1.73,0.39
Recycled PET,Battery Packaging,Automotive,9,24.74,2,89.61,3.18,2.128
Glass,Toy Box,Toys,9,38.98,1,96.87,4.47,1.859
Recycled PET,Assembly Kit Box,Furniture,8,15.82,4,91.97,2.4,2.159
Kraft Paper,Mobile Box,Electronics,5,6.56,10,92.05,0.44,0.54
Aluminum,Board Game Box,Toys,8,32.56,2,95.3,4.51,3.519
Aluminum,Appliance Carton,Home Appliances,10,30.49,2,99.55,4.06,3.595
Glass,Food Tray,Food Packaging,9,23.07,1,99.17,5.09,1.777
Kraft Paper,Foam Insert Package,Home Appliances,6,10.93,10,91.07,0.92,0.56
Mushroom Packaging,Cement Liner Bag,Construction,6,14.59,9,70.03,3.16,0.393
PLA Bioplastic,Takeaway Container,Food Packaging,6,17.6,8,54.32,2.1,1.187
Aluminum,Syringe Pack,Healthcare,10,29.28,1,99.24,4.18,3.484
Recycled PET,Cement Liner Bag,Construction,10,20.94,2,85.71,3.69,2.09
PLA Bioplastic,Garment Bag,Textiles,9,8.66,7,51.5,1.81,1.163
Recycled PET,Battery Packaging,Automotive,9,17.49,4,87.99,1.84,2.069
Kraft Paper,Takeaway Container,Food Packaging,6,8.66,8,88.02,0.33,0.653
Kraft Paper,Hardware Container,Construction,5,13.98,9,86.55,1.21,0.644
Kraft Paper,Protective Cushioning Pack,Furniture,6,8.02,9,93.04,1.04,0.581
Kraft Paper,Oil Container,Automotive,7,8.04,10,94.84,1.14,0.592
Aluminum,Clothing Box,Textiles,9,24.23,2,97.29,3.14,3.552
Kraft Paper,Electronic Blister Pack,Electronics,6,14.92,8,90.38,0.46,0.579
Corrugated Cardboard,Furniture Carton,Furniture,9,32.24,8,82.34,0.52,0.84
Mushroom Packaging,Appliance Carton,Home Appliances,5,12.93,10,62.34,2.01,0.455
Aluminum,Protective Box,Home Appliances,10,31.44,2,99.52,4.27,3.565
Recycled PET,Medicine Box,Healthcare,9,23.52,2,89.03,2.48,2.155
Recycled PET,Furniture Carton,Furniture,10,17.12,3,93.55,2.59,2.102
PLA Bioplastic,Oil Container,Automotive,9,13.89,7,68.54,2.81,1.173
Mushroom Packaging,Beverage Bottle,Food Packaging,6,9.43,10,65.06,2.0,0.442
Mushroom Packaging,Fabric Wrap,Textiles,7,11.37,9,63.5,2.38,0.42
Corrugated Cardboard,TV Carton,Electronics,8,15.46,8,86.26,1.68,0.823
Recycled PET,Toy Box,Toys,10,24.0,2,86.52,2.49,2.168
Aluminum,Medicine Box,Healthcare,8,21.41,2,96.19,4.37,3.534
Mushroom Packaging,Protective Cushioning Pack,Furniture,7,10.38,9,72.31,3.18,0.437
Aluminum,Board Game Box,Toys,8,30.56,1,98.85,5.35,3.55
PLA Bioplastic,Appliance Carton,Home Appliances,6,17.15,8,63.4,1.29,1.139
Bagasse Fiber,Tile Packaging,Construction,7,7.11,9,78.27,2.38,0.533
Glass,Hardware Container,Construction,9,23.21,1,96.68,3.97,1.761
Glass,Medicine Box,Healthcare,9,32.17,2,99.61,3.03,1.835
Mushroom Packaging,Syringe Pack,Healthcare,6,11.92,9,64.22,2.26,0.496
Recycled PET,Clothing Box,Textiles,8,27.53,3,88.66,3.95,2.143
Recycled PET,Toy Box,Toys,10,22.87,2,87.93,2.73,2.069
Kraft Paper,Battery Packaging,Automotive,6,5.41,10,87.65,0.69,0.518
PLA Bioplastic,Tablet Blister Pack,Healthcare,9,11.81,7,60.13,2.27,1.269
Corrugated Cardboard,Board Game Box,Toys,8,18.49,7,80.12,0.86,0.883
Bagasse Fiber,Medicine Box,Healthcare,7,9.92,10,71.18,0.93,0.446
Kraft Paper,Tablet Blister Pack,Healthcare,7,13.35,10,94.85,0.45,0.536
Kraft Paper,Takeaway Container,Food Packaging,7,6.98,10,94.68,0.45,0.545
Kraft Paper,TV Carton,Electronics,6,7.47,9,85.6,0.48,0.615
Bagasse Fiber,Mobile Box,Electronics,6,7.59,8,82.97,1.04,0.49
Kraft Paper,Fabric Wrap,Textiles,6,13.85,10,87.95,1.07,0.674
Glass,Furniture Carton,Furniture,9,34.59,1,99.15,2.73,1.758
Glass,Toy Box,Toys,9,30.63,2,98.41,3.38,1.706
Glass,Garment Bag,Textiles,10,34.68,1,96.72,5.59,1.846
Kraft Paper,Assembly Kit Box,Furniture,4,13.21,9,90.23,0.87,0.605
Kraft Paper,Cosmetic Tube,Cosmetics,5,8.27,8,92.8,1.1,0.591
Recycled PET,Clothing Box,Textiles,10,20.42,4,94.81,1.93,2.085
PLA Bioplastic,Spare Parts Box,Automotive,9,17.4,8,52.07,1.38,1.221
PLA Bioplastic,Clothing Box,Textiles,9,11.56,6,54.92,1.08,1.304
Corrugated Cardboard,Garment Bag,Textiles,8,34.24,7,81.39,0.75,0.771
Corrugated Cardboard,Electronic Blister Pack,Electronics,8,15.46,7,87.37,0.92,0.779
Aluminum,Medicine Box,Healthcare,9,25.39,1,99.48,3.03,3.487
Aluminum,Food Tray,Food Packaging,8,24.92,2,95.78,2.77,3.507
Mushroom Packaging,Toy Box,Toys,6,17.13,9,76.17,1.48,0.372
PLA Bioplastic,Toy Box,Toys,6,13.51,6,54.08,1.92,1.135
Glass,Toy Box,Toys,10,33.68,1,96.56,2.83,1.832
PLA Bioplastic,Board Game Box,Toys,9,15.43,6,68.56,1.73,1.207
Aluminum,Assembly Kit Box,Furniture,10,31.6,1,96.77,4.01,3.471
Mushroom Packaging,Cement Liner Bag,Construction,6,16.34,10,66.39,2.79,0.411
PLA Bioplastic,Syringe Pack,Healthcare,7,9.27,6,55.56,1.08,1.317
Mushroom Packaging,Cement Liner Bag,Construction,6,9.56,10,63.36,3.04,0.498
PLA Bioplastic,Protective Box,Home Appliances,7,11.81,8,68.69,2.26,1.218
Kraft Paper,Makeup Box,Cosmetics,4,11.3,10,85.91,0.4,0.587
Kraft Paper,Board Game Box,Toys,4,12.81,10,86.46,1.35,0.639
Glass,Oil Container,Automotive,10,36.89,2,95.54,5.68,1.828
Mushroom Packaging,Protective Cushioning Pack,Furniture,6,16.44,10,78.03,1.34,0.314
Aluminum,Action Figure Pack,Toys,10,32.43,1,99.89,3.33,3.518
Bagasse Fiber,Cement Liner Bag,Construction,5,12.56,8,76.61,2.17,0.514
Glass,Medical Container,Healthcare,10,32.39,1,99.95,4.99,1.815
Bagasse Fiber,Perfume Bottle,Cosmetics,7,10.14,9,73.34,1.11,0.522
Glass,Cement Liner Bag,Construction,9,23.2,1,97.83,2.84,1.742
Glass,Mobile Box,Electronics,10,21.68,2,95.26,3.48,1.854
Mushroom Packaging,Cosmetic Tube,Cosmetics,6,8.77,9,60.47,2.31,0.372
Recycled PET,Oil Container,Automotive,10,17.03,3,85.39,3.05,2.07
Kraft Paper,Syringe Pack,Healthcare,6,5.29,9,94.47,0.74,0.595
PLA Bioplastic,Electronic Blister Pack,Electronics,8,10.97,7,69.48,1.93,1.113
PLA Bioplastic,Foam Insert Package,Home Appliances,8,16.51,8,65.03,2.49,1.275
Aluminum,Protective Cushioning Pack,Furniture,8,32.49,1,96.3,2.61,3.465
Kraft Paper,Pizza Box,Food Packaging,7,6.93,9,88.37,0.6,0.547
Aluminum,Oil Container,Automotive,9,31.29,1,98.64,4.64,3.518
Glass,Cement Liner Bag,Construction,10,23.23,2,96.04,5.58,1.826
Aluminum,Battery Packaging,Automotive,8,22.24,2,95.63,4.04,3.448
Glass,Appliance Carton,Home Appliances,10,31.7,1,98.49,4.13,1.713
Bagasse Fiber,Toy Box,Toys,6,9.04,10,76.17,0.98,0.45
Aluminum,Action Figure Pack,Toys,8,22.12,2,99.12,3.84,3.462
Bagasse Fiber,Appliance Carton,Home Appliances,7,12.64,8,71.76,1.71,0.512
Aluminum,Garment Bag,Textiles,10,28.67,1,98.19,3.23,3.352
PLA Bioplastic,Oil Container,Automotive,9,13.36,7,67.01,1.54,1.236
Aluminum,Furniture Carton,Furniture,10,24.18,1,97.78,3.63,3.406
Kraft Paper,Cement Liner Bag,Construction,6,13.18,10,86.95,0.32,0.557
Aluminum,Oil Container,Automotive,9,29.04,2,95.51,3.47,3.338
Mushroom Packaging,Fabric Wrap,Textiles,6,14.74,9,66.48,1.69,0.434
Glass,Pizza Box,Food Packaging,10,25.02,2,95.65,3.31,1.797
Bagasse Fiber,Toy Box,Toys,6,6.4,8,71.9,1.0,0.42
Kraft Paper,Clothing Box,Textiles,7,13.07,10,91.31,1.37,0.685
Bagasse Fiber,Syringe Pack,Healthcare,6,8.66,10,82.09,1.81,0.479
Aluminum,Spare Parts Box,Automotive,8,21.04,2,99.2,4.54,3.563
Kraft Paper,Food Tray,Food Packaging,7,13.63,9,87.93,1.25,0.622
Mushroom Packaging,Hardware Container,Construction,5,16.38,10,78.92,2.35,0.363
Mushroom Packaging,Makeup Box,Cosmetics,5,10.72,9,62.56,1.4,0.389
Glass,Assembly Kit Box,Furniture,10,33.69,1,98.33,4.15,1.827
Mushroom Packaging,Protective Cushioning Pack,Furniture,7,8.94,9,66.37,2.55,0.396
Mushroom Packaging,Cement Liner Bag,Construction,7,10.99,9,60.0,2.91,0.241
Bagasse Fiber,Perfume Bottle,Cosmetics,7,7.33,9,84.36,1.53,0.559
Corrugated Cardboard,Perfume Bottle,Cosmetics,6,12.13,7,84.61,0.69,0.807
Recycled PET,Appliance Carton,Home Appliances,10,18.6,4,85.81,2.21,2.043
Glass,Assembly Kit Box,Furniture,10,28.09,2,99.37,3.45,1.797
Glass,Cosmetic Tube,Cosmetics,9,36.25,2,97.45,4.58,1.701
Mushroom Packaging,Tile Packaging,Construction,5,14.95,9,72.65,2.51,0.387
PLA Bioplastic,Perfume Bottle,Cosmetics,9,16.32,6,58.52,1.71,1.239
PLA Bioplastic,Cream Jar,Cosmetics,6,17.36,6,50.51,2.97,1.169
Recycled PET,Action Figure Pack,Toys,8,27.75,4,90.24,3.01,2.114
Aluminum,Cream Jar,Cosmetics,10,24.17,1,95.43,3.21,3.425
Aluminum,Cosmetic Tube,Cosmetics,10,28.78,1,97.62,2.81,3.519
Glass,Cosmetic Tube,Cosmetics,10,31.97,1,98.07,2.61,1.791
Mushroom Packaging,Syringe Pack,Healthcare,7,9.36,9,69.32,1.77,0.47
Kraft Paper,Electronic Blister Pack,Electronics,5,10.56,10,94.42,0.49,0.533
Recycled PET,Oil Container,Automotive,8,29.63,2,91.76,1.97,2.049
Glass,Syringe Pack,Healthcare,10,28.25,2,97.75,3.14,1.862
